invoice,stock_code,description,quantity,invoice_date,unit_price,customer_id,country
555199,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,01.06.2011 12:05,"2,95",14606.0,United Kingdom
554974,21794,CLASSIC FRENCH STYLE BASKET NATURAL,30,27.05.2011 17:14,"3,95",14031.0,United Kingdom
579187,22356,CHARLOTTE BAG PINK POLKADOT,13,28.11.2011 15:31,"1,63",,United Kingdom
573546,21770,OPEN CLOSED METAL SIGN,2,31.10.2011 13:13,"4,95",15974.0,United Kingdom
546157,22180,RETROSPOT LAMP,2,10.03.2011 08:40,"9,95",13502.0,United Kingdom
575618,23012,GLASS APOTHECARY BOTTLE PERFUME,4,10.11.2011 12:57,"3,95",15463.0,United Kingdom
580635,21519,GIN & TONIC DIET GREETING CARD ,12,05.12.2011 12:30,"0,42",14649.0,United Kingdom
568908,23545,WRAP RED VINTAGE DOILY,25,29.09.2011 13:38,"0,42",16653.0,United Kingdom
550128,22933,BAKING MOULD EASTER EGG MILK CHOC,1,14.04.2011 13:13,"2,95",,United Kingdom
C559742,22960,JAM MAKING SET WITH JARS,-12,12.07.2011 11:11,"3,75",14267.0,United Kingdom
545721,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,07.03.2011 10:52,"7,9",15039.0,United Kingdom
578664,22065,CHRISTMAS PUDDING TRINKET POT ,2,24.11.2011 16:59,"0,39",15910.0,United Kingdom
560090,40016,CHINESE DRAGON PAPER LANTERNS,5,14.07.2011 16:46,"8,29",,United Kingdom
560120,22457,NATURAL SLATE HEART CHALKBOARD ,6,15.07.2011 10:27,"2,95",14907.0,United Kingdom
540418,22161,HEART DECORATION RUSTIC HANGING ,5,07.01.2011 11:04,"0,81",,United Kingdom
546237,84508A,CAMOUFLAGE DESIGN TEDDY,6,10.03.2011 12:50,"2,55",16625.0,United Kingdom
565118,22662,LUNCH BAG DOLLY GIRL DESIGN,2,01.09.2011 11:33,"1,65",15039.0,United Kingdom
539000,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,15.12.2010 12:27,"9,95",13092.0,United Kingdom
545715,82600,NO SINGING METAL SIGN,1,07.03.2011 10:13,"4,13",,United Kingdom
C572491,23245,SET OF 3 REGENCY CAKE TINS,-1,24.10.2011 14:02,"4,95",13047.0,United Kingdom
571931,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2,19.10.2011 16:59,"5,79",,United Kingdom
568721,23507,MINI PLAYING CARDS BUFFALO BILL ,1,28.09.2011 16:24,"0,83",,United Kingdom
560876,22619,SET OF 6 SOLDIER SKITTLES,12,21.07.2011 15:14,"3,75",12626.0,Germany
537159,22667,RECIPE BOX RETROSPOT ,1,05.12.2010 13:17,"2,95",14527.0,United Kingdom
565841,22560,TRADITIONAL MODELLING CLAY,2,07.09.2011 12:04,"2,46",,United Kingdom
536532,20685,DOORMAT RED RETROSPOT,2,01.12.2010 13:24,"7,95",12433.0,Norway
C556896,21899,"KEY FOB , GARAGE DESIGN",-6,15.06.2011 12:51,"0,65",12843.0,United Kingdom
578265,21822,GLITTER CHRISTMAS TREE WITH BELLS,12,23.11.2011 13:28,"0,79",13018.0,United Kingdom
572306,22621,TRADITIONAL KNITTING NANCY,1,23.10.2011 15:11,"1,65",17841.0,United Kingdom
560723,23295,SET OF 12 MINI LOAF BAKING CASES,3,20.07.2011 13:53,"0,83",16464.0,United Kingdom
558066,22547,MINI JIGSAW DINOSAUR ,1,24.06.2011 15:45,"0,83",,United Kingdom
545227,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,24,01.03.2011 09:35,"0,85",12428.0,Finland
549577,84247G,"DECOUPAGE,GREETING CARD,",12,11.04.2011 08:16,"0,42",14286.0,United Kingdom
574700,82580,BATHROOM METAL SIGN,2,06.11.2011 13:53,"0,55",16033.0,United Kingdom
538163,22468,BABUSHKA LIGHTS STRING OF 10,2,09.12.2010 17:27,"6,75",17841.0,United Kingdom
561043,21385,IVORY HANGING DECORATION  HEART,24,24.07.2011 12:20,"0,85",15708.0,United Kingdom
557792,22605,WOODEN CROQUET GARDEN SET,1,22.06.2011 16:44,"14,95",16987.0,United Kingdom
563076,22383,LUNCH BAG SUKI DESIGN ,100,11.08.2011 16:12,"1,45",14646.0,Netherlands
546731,82552,WASHROOM METAL SIGN,12,16.03.2011 11:39,"1,45",13089.0,United Kingdom
581376,20975,12 PENCILS SMALL TUBE RED RETROSPOT,4,08.12.2011 12:43,"0,65",14719.0,United Kingdom
540468,21413,PERIWINKLE T-LIGHT HOLDER,1,07.01.2011 13:55,"2,51",,United Kingdom
545701,48116,DOORMAT MULTICOLOUR STRIPE,10,06.03.2011 15:17,"6,75",17107.0,United Kingdom
555548,21787,RAIN PONCHO RETROSPOT,72,05.06.2011 13:16,"0,85",17811.0,United Kingdom
561708,23266,SET OF 3 WOODEN STOCKING DECORATION,12,29.07.2011 11:28,"1,25",13575.0,United Kingdom
571441,22653,BUTTON BOX ,2,17.10.2011 13:31,"1,63",14096.0,United Kingdom
578017,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,22.11.2011 13:07,"12,75",13569.0,United Kingdom
538449,82599,FANNY'S REST STOPMETAL SIGN,2,12.12.2010 12:24,"2,1",17085.0,United Kingdom
536531,22726,ALARM CLOCK BAKELIKE GREEN,9,01.12.2010 13:23,"3,75",15485.0,United Kingdom
581023,22199,FRYING PAN RED RETROSPOT,1,07.12.2011 10:35,"8,29",,United Kingdom
540681,82494L,WOODEN FRAME ANTIQUE WHITE ,1,10.01.2011 16:25,"7,62",,United Kingdom
562378,21034,REX CASH+CARRY JUMBO SHOPPER,5,04.08.2011 15:07,"0,95",15046.0,United Kingdom
568144,22115,METAL SIGN EMPIRE TEA,12,25.09.2011 11:29,"0,79",14005.0,United Kingdom
566951,72799E,IVORY PILLAR CANDLE SILVER FLOCK,6,15.09.2011 16:36,"2,95",17293.0,United Kingdom
547788,17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,1,25.03.2011 12:00,"2,46",,United Kingdom
579520,22619,SET OF 6 SOLDIER SKITTLES,1,29.11.2011 18:14,"3,75",12748.0,United Kingdom
567617,23358,HOT STUFF HOT WATER BOTTLE,6,21.09.2011 12:25,"3,75",15140.0,United Kingdom
565594,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,05.09.2011 14:11,"1,25",13510.0,United Kingdom
580140,23174,REGENCY SUGAR BOWL GREEN,4,02.12.2011 09:19,"4,15",14895.0,United Kingdom
563555,21829,DINOSAUR KEYRINGS ASSORTED,36,17.08.2011 13:21,"0,21",16755.0,United Kingdom
565117,23110,PARISIENNE KEY CABINET ,4,01.09.2011 11:33,"5,75",13089.0,United Kingdom
546891,22630,DOLLY GIRL LUNCH BOX,1,17.03.2011 18:18,"4,13",,United Kingdom
536593,22366,DOORMAT AIRMAIL ,2,01.12.2010 17:15,"7,95",16835.0,United Kingdom
565419,23394,POSTE FRANCE CUSHION COVER,4,04.09.2011 12:07,"3,75",13808.0,United Kingdom
C569959,22197,POPCORN HOLDER,-3,06.10.2011 18:39,"0,85",13983.0,United Kingdom
557854,82581,TOILET METAL SIGN,3,23.06.2011 11:38,"0,55",13268.0,United Kingdom
554938,22423,REGENCY CAKESTAND 3 TIER,2,27.05.2011 13:34,"12,75",12876.0,Belgium
578811,23388,WOODLAND MINI BACKPACK,4,25.11.2011 13:28,"4,15",12438.0,Norway
578998,22192,BLUE DINER WALL CLOCK,1,27.11.2011 16:05,"8,5",15436.0,United Kingdom
564835,22659,LUNCH BOX I LOVE LONDON,1,30.08.2011 12:31,"4,13",,United Kingdom
564752,22271,FELTCRAFT DOLL ROSIE,18,30.08.2011 10:07,"2,95",16126.0,United Kingdom
555207,20830,SILVER PHOTO FRAME,6,01.06.2011 12:19,"2,1",16818.0,United Kingdom
547385,22545,MINI JIGSAW BUNNIES,1,22.03.2011 15:48,"0,83",,United Kingdom
543021,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,02.02.2011 14:36,"2,55",15421.0,United Kingdom
575070,21390,FILIGRIS HEART WITH BUTTERFLY,3,08.11.2011 12:58,"1,25",17841.0,United Kingdom
544322,79000,MOROCCAN TEA GLASS,24,17.02.2011 15:50,"0,85",14211.0,United Kingdom
570019,23500,KEY RING BASEBALL BOOT ASSORTED ,1,07.10.2011 10:13,"1,25",17841.0,United Kingdom
553900,37450,CERAMIC CAKE BOWL + HANGING CAKES,6,19.05.2011 17:47,"2,95",12353.0,Bahrain
580047,23312,VINTAGE CHRISTMAS GIFT SACK,1,01.12.2011 12:44,"4,15",12989.0,United Kingdom
580610,21931,JUMBO STORAGE BAG SUKI,12,05.12.2011 11:48,"4,13",,United Kingdom
540464,84792,ENCHANTED BIRD COATHANGER 5 HOOK,8,07.01.2011 13:17,"3,81",14298.0,United Kingdom
548337,22382,LUNCH BAG SPACEBOY DESIGN ,2,30.03.2011 14:06,"1,65",18198.0,United Kingdom
551173,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,5,26.04.2011 16:54,"2,08",,United Kingdom
571476,21210,SET OF 72 RETROSPOT PAPER  DOILIES,7,17.10.2011 14:51,"1,45",13546.0,United Kingdom
578024,21156,RETROSPOT CHILDRENS APRON,8,22.11.2011 13:27,"1,95",12705.0,Germany
544646,71038,WHITE HANGING BEADS CANDLE HOLDER,4,22.02.2011 12:06,"5,45",17075.0,United Kingdom
548364,21095,,53,30.03.2011 15:49,0,,United Kingdom
542112,20616,CHERRY BLOSSOM PASSPORT COVER,1,25.01.2011 13:55,"2,1",13168.0,United Kingdom
566203,23241,TREASURE TIN GYMKHANA DESIGN,1,09.09.2011 14:47,"2,08",16362.0,United Kingdom
C579886,23458,DOLLY CABINET 3 DRAWERS ,-2,30.11.2011 17:39,"14,95",15676.0,United Kingdom
546927,22726,ALARM CLOCK BAKELIKE GREEN,12,18.03.2011 10:15,"3,75",16672.0,United Kingdom
556304,23209,LUNCH BAG DOILEY PATTERN ,20,10.06.2011 10:29,"1,65",12840.0,United Kingdom
540114,84030E,ENGLISH ROSE HOT WATER BOTTLE,8,05.01.2011 09:44,"4,25",15498.0,United Kingdom
564742,23333,IVORY WICKER HEART MEDIUM,1,28.08.2011 15:01,"1,25",17346.0,United Kingdom
564654,22576,SWALLOW WOODEN CHRISTMAS DECORATION,24,26.08.2011 14:29,"0,85",14911.0,EIRE
538658,84360,TABLE LAMP WHITE SHADE WOOD BASE,2,13.12.2010 15:34,"5,95",17969.0,United Kingdom
541181,22502,PICNIC BASKET WICKER SMALL,16,14.01.2011 11:50,"4,95",12877.0,United Kingdom
568716,21810,CHRISTMAS HANGING STAR WITH BELL,1,28.09.2011 16:13,"0,83",,United Kingdom
569262,22367,CHILDRENS APRON SPACEBOY DESIGN,8,03.10.2011 11:36,"1,95",14815.0,United Kingdom
546396,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,4,11.03.2011 14:35,"2,1",13226.0,United Kingdom
567462,22280,POCKET BAG PINK PAISELY BROWN SPOT,5,20.09.2011 12:35,"1,25",14446.0,United Kingdom
579093,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,28.11.2011 10:54,"2,55",13081.0,United Kingdom
567280,20712,JUMBO BAG WOODLAND ANIMALS,100,19.09.2011 11:46,"1,79",14646.0,Netherlands
555925,22907,PACK OF 20 NAPKINS PANTRY DESIGN,2,07.06.2011 17:13,"1,63",,United Kingdom
552005,22413,METAL SIGN TAKE IT OR LEAVE IT ,12,05.05.2011 16:34,"2,95",15491.0,United Kingdom
570178,23531,WALL ART BIG LOVE ,3,07.10.2011 14:23,"6,95",16558.0,United Kingdom
576933,22197,POPCORN HOLDER,6,17.11.2011 11:29,"0,85",15529.0,United Kingdom
574877,21287,SCENTED VELVET LOUNGE CANDLE ,72,07.11.2011 13:17,"0,38",16637.0,United Kingdom
556812,85086A,CANDY SPOT HEART DECORATION,4,14.06.2011 17:25,"0,83",,United Kingdom
550350,23009,I LOVE LONDON BABY GIFT SET,1,18.04.2011 10:04,"16,95",15491.0,United Kingdom
555602,21714,CITRONELLA CANDLE GARDEN POT,12,06.06.2011 11:26,"1,25",16235.0,United Kingdom
540154,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,4,05.01.2011 11:30,"8,47",,United Kingdom
576851,20983,12 PENCILS TALL TUBE RED RETROSPOT,20,16.11.2011 15:41,"0,85",15967.0,United Kingdom
540121,22610,PENS ASSORTED FUNNY FACE,36,05.01.2011 10:35,"0,21",16145.0,United Kingdom
580367,21402,RED  EGG  SPOON,1,02.12.2011 16:39,"0,42",,United Kingdom
543172,22197,SMALL POPCORN HOLDER,6,04.02.2011 09:11,"1,63",,United Kingdom
554929,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,12,27.05.2011 13:16,"1,45",13018.0,United Kingdom
561022,23256,CHILDRENS CUTLERY SPACEBOY ,5,24.07.2011 10:24,"4,15",14800.0,United Kingdom
570516,21509,COWBOYS AND INDIANS BIRTHDAY CARD ,12,11.10.2011 10:39,"0,42",14121.0,United Kingdom
544684,22635,CHILDS BREAKFAST SET DOLLY GIRL ,1,22.02.2011 16:32,"19,96",,United Kingdom
537469,22112,CHOCOLATE HOT WATER BOTTLE,24,07.12.2010 10:43,"4,25",17720.0,United Kingdom
578307,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,1,23.11.2011 15:53,"2,1",17290.0,United Kingdom
559693,20653,CHERRY BLOSSOM LUGGAGE TAG,2,11.07.2011 16:21,"0,83",,United Kingdom
543979,85114A,BLACK ENCHANTED FOREST PLACEMAT,5,14.02.2011 15:43,"1,65",14606.0,United Kingdom
548893,22329,ROUND CONTAINER SET OF 5 RETROSPOT,1,04.04.2011 15:54,"3,29",,United Kingdom
580317,20725,LUNCH BAG RED RETROSPOT,20,02.12.2011 15:29,"1,65",13458.0,United Kingdom
560576,48184,DOORMAT ENGLISH ROSE ,1,19.07.2011 14:59,"7,95",17287.0,United Kingdom
578065,22489,PACK OF 12 TRADITIONAL CRAYONS,1,22.11.2011 15:41,"0,83",,United Kingdom
564373,23170,REGENCY TEA PLATE ROSES ,36,25.08.2011 09:56,"1,65",15290.0,United Kingdom
570724,23365,SET 12 COLOUR PENCILS LOVE LONDON,16,12.10.2011 11:22,"0,65",12602.0,France
546643,85150,LADIES & GENTLEMEN METAL SIGN,6,15.03.2011 13:23,"2,55",16214.0,United Kingdom
554842,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,26.05.2011 18:17,"3,75",14740.0,United Kingdom
552247,22698,PINK REGENCY TEACUP AND SAUCER,1,06.05.2011 19:48,"2,95",12748.0,United Kingdom
560041,22467,GUMBALL COAT RACK,6,14.07.2011 14:46,"2,55",14156.0,EIRE
540468,22585,PACK OF 6 BIRDY GIFT TAGS,2,07.01.2011 13:55,"2,51",,United Kingdom
575089,23492,VINTAGE JINGLE BELLS WREATH,2,08.11.2011 14:02,"8,25",13437.0,United Kingdom
566048,84510A,SET OF 4 ENGLISH ROSE COASTERS,10,08.09.2011 14:21,"1,25",16558.0,United Kingdom
577853,22283,6 EGG HOUSE PAINTED WOOD,2,22.11.2011 11:13,"7,95",13681.0,United Kingdom
540646,90214W,"LETTER ""W"" BLING KEY RING",1,10.01.2011 14:32,"0,85",,United Kingdom
544724,85152,HAND OVER THE CHOCOLATE   SIGN ,24,23.02.2011 10:46,"2,1",15605.0,United Kingdom
548636,23156,SET OF 5 MINI GROCERY MAGNETS,12,01.04.2011 12:29,"2,08",15601.0,United Kingdom
570258,22077,6 RIBBONS RUSTIC CHARM,1,10.10.2011 09:56,"4,13",,United Kingdom
552469,21034,REX CASH+CARRY JUMBO SHOPPER,5,09.05.2011 15:34,"0,95",12867.0,United Kingdom
578270,21899,GARAGE KEY FOB,1,23.11.2011 13:39,"1,63",14096.0,United Kingdom
546008,22136,LOVE HEART SOCK HANGER,1,08.03.2011 15:43,"3,29",,United Kingdom
580025,23481,PEARLISED IVORY HEART SMALL ,3,01.12.2011 11:53,"1,25",15021.0,United Kingdom
581439,23100,SILVER BELLS TABLE DECORATION,1,08.12.2011 16:30,"2,46",,United Kingdom
575688,22412,METAL SIGN NEIGHBOURHOOD WITCH ,4,10.11.2011 16:15,"2,1",18230.0,United Kingdom
576615,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,3,15.11.2011 16:42,"0,29",17231.0,United Kingdom
557644,21172,PARTY METAL SIGN ,2,21.06.2011 17:06,"4,13",,United Kingdom
579297,82551,LAUNDRY 15C METAL SIGN,2,29.11.2011 11:23,"2,46",,United Kingdom
557854,21169,YOU'RE CONFUSING ME METAL SIGN ,4,23.06.2011 11:38,"1,69",13268.0,United Kingdom
558759,22779,WOODEN OWLS LIGHT GARLAND ,7,03.07.2011 12:36,"4,25",13148.0,United Kingdom
579777,23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,3,30.11.2011 15:13,"7,46",,United Kingdom
573396,21810,CHRISTMAS HANGING STAR WITH BELL,1,30.10.2011 15:13,"0,39",14723.0,United Kingdom
537372,22837,HOT WATER BOTTLE BABUSHKA ,2,06.12.2010 12:52,"4,65",16919.0,United Kingdom
547372,22456,NATURAL SLATE CHALKBOARD LARGE ,2,22.03.2011 13:46,"4,95",16374.0,United Kingdom
573876,85227,SET OF 6 3D KIT CARDS FOR KIDS,1,01.11.2011 12:48,"0,85",16360.0,United Kingdom
567792,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,12,22.09.2011 11:40,"0,83",17581.0,United Kingdom
559162,21944,KITTENS DESIGN FLANNEL,1,06.07.2011 16:29,"0,83",,United Kingdom
542255,22697,GREEN REGENCY TEACUP AND SAUCER,6,26.01.2011 16:43,"5,79",,United Kingdom
560724,23093,SMALL PARISIENNE HEART PHOTO FRAME ,12,20.07.2011 13:55,"2,49",16186.0,United Kingdom
569126,21071,VINTAGE BILLBOARD DRINK ME MUG,36,30.09.2011 13:28,"1,06",13347.0,United Kingdom
578065,82567,"AIRLINE LOUNGE,METAL SIGN",1,22.11.2011 15:41,"1,63",,United Kingdom
541827,22659,LUNCH BOX I LOVE LONDON,1,21.01.2011 17:05,"4,13",,United Kingdom
549722,21975,PACK OF 60 DINOSAUR CAKE CASES,2,11.04.2011 15:59,"0,55",17236.0,United Kingdom
